text,author,book
The place I like best in this world is the kitchen.,Banana Yoshimoto,Kitchen
"No matter where it is, no matter what kind, if it's a kitchen, if it's a place where they make food, it's fine with me.",Banana Yoshimoto,Kitchen
Ideally it should be well broken in.,Banana Yoshimoto,Kitchen
"Lots of tea towels, dry and immaculate.",Banana Yoshimoto,Kitchen
White tile catching the light (ting!,Banana Yoshimoto,Kitchen
ting!,Banana Yoshimoto,Kitchen
").I love even incredibly dirty kitchens to distraction—vegetable droppings all over the floor, so dirty your slippers turn black on the bottom.",Banana Yoshimoto,Kitchen
"Strangely, it's better if this kind of kitchen is large.",Banana Yoshimoto,Kitchen
"I lean up against the silver door of a towering, giant refrigerator stocked with enough food to get through a winter.",Banana Yoshimoto,Kitchen
"When I raise my eyes from the oil-spattered gas burner and the rusty kitchen knife, outside the window stars are glittering, lonely.Now only the kitchen and I are left.",Banana Yoshimoto,Kitchen
"It's just a little nicer than being all alone.When I'm dead worn out, in a reverie, I often think that when it comes time to die, I want to breathe my last in a kitchen.",Banana Yoshimoto,Kitchen
"Whether it's cold and I'm all alone, or somebody's there and it's warm, I'll stare death fearlessly in the eye.",Banana Yoshimoto,Kitchen
"If it's a kitchen, I'll think, ""How good.",Banana Yoshimoto,Kitchen
"""Before the Tanabe family took me in, I spent every night in the kitchen.",Banana Yoshimoto,Kitchen
"After my grandmother died, I couldn't sleep.",Banana Yoshimoto,Kitchen
One morning at dawn I trundled out of my room in search of comfort and found that the one place I could sleep was beside the refrigerator.My parents—my name is Mikage Sakurai—both died when they were young.,Banana Yoshimoto,Kitchen
After that my grandparents brought me up.,Banana Yoshimoto,Kitchen
I was going into junior high when my grandfather died.,Banana Yoshimoto,Kitchen
"From then on, it was just my grandmother and me.When my grandmother died the other day, I was taken by surprise.",Banana Yoshimoto,Kitchen
"My family had steadily decreased one by one as the years went by, but when it suddenly dawned on me that I was all alone, everything before my eyes seemed false.",Banana Yoshimoto,Kitchen
"The fact that time continued to pass in the usual way in this apartment where I grew up, even though now I was here all alone, amazed me.",Banana Yoshimoto,Kitchen
It was total science fiction.,Banana Yoshimoto,Kitchen
The blackness of the cosmos.Three days after the funeral I was still in a daze.,Banana Yoshimoto,Kitchen
"Steeped in a sadness so great I could barely cry, shuffling softly in gentle drowsiness, I pulled my futon into the deathly silent, KITCHENgleaming kitchen.",Banana Yoshimoto,Kitchen
"Wrapped in a blanket, like Linus, I slept.The hum of the refrigerator kept me from thinking of my loneliness.",Banana Yoshimoto,Kitchen
"There, the long night came on in perfect peace, and morning came.But.",Banana Yoshimoto,Kitchen
.,Banana Yoshimoto,Kitchen
.,Banana Yoshimoto,Kitchen
"I just wanted to sleep under the stars.I wanted to wake up in the morning light.Aside from that, I just drifted, listless.However!",Banana Yoshimoto,Kitchen
I couldn't exist like that.,Banana Yoshimoto,Kitchen
Reality is wonderful.I thought of the money my grandmother had left me—just enough.,Banana Yoshimoto,Kitchen
"The place was too big, too expensive, for one person.",Banana Yoshimoto,Kitchen
I had to look for another apartment.,Banana Yoshimoto,Kitchen
There was no way around it.,Banana Yoshimoto,Kitchen
"I thumbed through the listings, but when I saw so many places all the same lined up like that, it made my head swim.",Banana Yoshimoto,Kitchen
Moving takes a lot of time and trouble.,Banana Yoshimoto,Kitchen
It takes energy.I had no strength; my joints ached from sleeping in the kitchen day and night.,Banana Yoshimoto,Kitchen
When I realized how much effort moving would require—I'd have to pull myself together and go look at places.,Banana Yoshimoto,Kitchen
Move my stuff.,Banana Yoshimoto,Kitchen
"Get a phone in-stalled—I lay around instead, sleeping, in despair.",Banana Yoshimoto,Kitchen
"It was then that a miracle, a godsend, came calling one afternoon.I remember it well.Dingdong.",Banana Yoshimoto,Kitchen
Suddenly the doorbell rang.It was a somewhat cloudy spring afternoon.,Banana Yoshimoto,Kitchen
"I was intently involved in tying up old magazines with string while glancing at the apartment listings with half an eye but no interest, wondering how I was going to move.Flustered, looking like I'd just gotten out of bed, I ran out and without thinking undid the latch and opened the door.",Banana Yoshimoto,Kitchen
Thank god it wasn't a robber.,Banana Yoshimoto,Kitchen
There stood Yuichi Tanabe.,Banana Yoshimoto,Kitchen
"""Thank you for your help the other day,"" I said.",Banana Yoshimoto,Kitchen
"He was a nice young man, a year younger than me, who had helped out a lot at the funeral.",Banana Yoshimoto,Kitchen
I think he'd said he went to the same university I did.,Banana Yoshimoto,Kitchen
