text,author,book
"MY NICKNAME IS PIG—OR MOLEOnce a month I go shopping downtown, near the prefectural offices.",Kobo Abe,The Ark Sakura
"It takes me the better part of an hour to drive there, but since my purchases include a lot of specialized items—faucet packing, spare blades for power tools, large laminated dry cells, that sort of thing—the local shops won’t do.",Kobo Abe,The Ark Sakura
"Besides, I’d rather not run into anyone I know.",Kobo Abe,The Ark Sakura
My nickname trails after me like a shadow.My nickname is Pig—or Mole.,Kobo Abe,The Ark Sakura
"I stand five feet eight inches tall, weigh two hundred fifteen pounds, and have round shoulders and stumpy arms and legs.",Kobo Abe,The Ark Sakura
"Once, hoping to make myself more inconspicuous, I took to wearing a long black raincoat—but any hope I might have had was swept away when I walked by the new city hall complex on the broad avenue leading up to the station.The city hall building is a black steel frame covered with black glass, like a great black mirror; you have to pass it to get to the train station.",Kobo Abe,The Ark Sakura
"With that raincoat on, I looked like a whale calf that had lost its way, or a discarded football, blackened from lying in the trash.",Kobo Abe,The Ark Sakura
"Although the distorted reflection of my surroundings was amusing, my own twisted image seemed merely pitiful.Besides, in hot weather the crease in my double chin perspires so much that I break out in a rash; I can’t very well cool the underside of my chin against a stone wall the way I can my forehead or the soles of my feet.",Kobo Abe,The Ark Sakura
I even have trouble sleeping.,Kobo Abe,The Ark Sakura
A raincoat is simply out of the question.,Kobo Abe,The Ark Sakura
"My reclusion deepens.If I must have a nickname, let it be Mole, not Pig.",Kobo Abe,The Ark Sakura
Mole is not only the less unappealing of the two but also more fitting: for the last three years or so I’ve been living underground.,Kobo Abe,The Ark Sakura
"Not in a cylindrical cave like a mole’s burrow but in a former quarry for architectural stone, with vertical walls and level ceilings and floors.",Kobo Abe,The Ark Sakura
"The place is a vast underground complex where thousands of people could live, with over seventy stone rooms piled up every which way, all interconnected by stone stairways and tunnels.",Kobo Abe,The Ark Sakura
In size the rooms range from great halls like indoor stadiums to tiny cubby-holes where they used to take test samples.,Kobo Abe,The Ark Sakura
"Of course there are no amenities like piped water or drainage, or power lines.",Kobo Abe,The Ark Sakura
