text,author,book
From the time I was a boy the reckless streak that runs in my family has brought me nothing but trouble.,Natsume Soseki,Botchan
Once when I was in elementary school I jumped out of one of the second-story windows and I couldn’t walk for a week.,Natsume Soseki,Botchan
Some people might wonder why I’d try such a daredevil stunt.,Natsume Soseki,Botchan
It’s not as if there was any special reason.,Natsume Soseki,Botchan
"I was just sticking my head out of a window in the new school building one day, and one of my classmates started making fun of me and saying that even though I acted tough I was really a sissy and I would never jump out that window.",Natsume Soseki,Botchan
"When the school custodian carried me home on his back, my old man was furious and said that he couldn’t believe that somebody couldn’t walk just because they’d jumped out of a second-story window.",Natsume Soseki,Botchan
"I told him that next time I tried that jump I’d walk away from it.I had a nice imported knife that one of my relatives had given me, and once when I was holding it up to the sun to show my friends how shiny the blade was, one of them said that it was shiny all right but it probably wouldn’t cut anything.",Natsume Soseki,Botchan
I told him that it would cut through anything just fine and if he didn’t believe me I would prove it.,Natsume Soseki,Botchan
"He dared me to try cutting my finger with it, so I said all right, just watch, and cut a diagonal slice across my right thumb.",Natsume Soseki,Botchan
"Luckily it was just a small knife and the bone was good and hard, so that thumb is still attached to my hand, but the scar will be there until the day I die.About twenty paces from the east side of our house we had a little vegetable patch with a chestnut tree standing right in the middle.",Natsume Soseki,Botchan
Those chestnuts meant more to me than life itself.,Natsume Soseki,Botchan
When they started to get ripe I would be out the back door as soon as I woke up to pick them up so I could take them to eat at school.,Natsume Soseki,Botchan
The yard on the west side of our garden belonged to a pawnbroker called Yamashiro-ya.,Natsume Soseki,Botchan
He had a son named Kantarō who was about thirteen.,Natsume Soseki,Botchan
"Kantarō was a sissy, of course, but he used to climb over the wood-and-bamboo fence and steal our chestnuts.",Natsume Soseki,Botchan
One evening I hid out in the shadows by the gate and finally caught him at it.,Natsume Soseki,Botchan
"He saw that I’d cut off his escape route, so he jumped me with everything he had.",Natsume Soseki,Botchan
"He was two years older than me, and even though he was a sissy he was strong.",Natsume Soseki,Botchan
"He tried to butt me in the chest with that big flat head of his, but all he managed to do was get it stuck in the sleeve of my kimono.",Natsume Soseki,Botchan
"I couldn’t use my arm with his head stuck in my sleeve, so I just kept waving it around while his head flopped back and forth with it.",Natsume Soseki,Botchan
When he couldn’t take it any more he bit into my arm.,Natsume Soseki,Botchan
"That really hurt, so I pushed him against the fence and then I tripped him up and threw him over.",Natsume Soseki,Botchan
Yamashiro-ya’s property was six feet lower than our garden.,Natsume Soseki,Botchan
Kantarō took a chunk out of the fence as he dropped back over into his own territory with a pathetic moan.,Natsume Soseki,Botchan
"My sleeve got torn off as he fell, so I could finally move my arm again.",Natsume Soseki,Botchan
"When my mother went over to apologize that night, she managed to get the sleeve back.That wasn’t all – I got into lots of other trouble as well.",Natsume Soseki,Botchan
There was the time when I got together with Kane-kō the carpenter’s son and Kaku the fish peddler’s son and wrecked old Mosaku’s carrot patch.,Natsume Soseki,Botchan
"He had left some straw spread out on a piece of ground where the carrots hadn’t all come up yet, so the three of us used it as a sumo ring.",Natsume Soseki,Botchan
"We wrestled there for hours, and by the time we were through the carrots were all trampled flat.",Natsume Soseki,Botchan
Another time I plugged up the water pipe in the Furukawas’ rice paddy.,Natsume Soseki,Botchan
They had a thick tube of hollowed-out bamboo buried deep in the ground with water coming out of it to irrigate the rice plants.,Natsume Soseki,Botchan
"I didn’t know what it was there for, and one day I stuffed the opening full of rocks and twigs until the water stopped coming out.",Natsume Soseki,Botchan
"Later, when I was back home eating dinner, old Mr Furukawa burst in.",Natsume Soseki,Botchan
He was yelling so hard he turned red in the face.,Natsume Soseki,Botchan
"As I recall, my parents had to pay him some money to make up for it.My old man never showed any fondness for me, and my mother always favored my older brother.",Natsume Soseki,Botchan
"His face was so pale it was creepy, and he liked to act out scenes from Kabuki plays – especially the female roles.",Natsume Soseki,Botchan
Every time the old man laid eyes on me he’d tell me that I’d never amount to much.,Natsume Soseki,Botchan
My mother would tell me I was so rough that she worried about what would become of me.,Natsume Soseki,Botchan
"Well, it’s true that I never have amounted to much.",Natsume Soseki,Botchan
"When you look at how things have turned out, it’s no wonder that she was worried.",Natsume Soseki,Botchan
"I have managed to stay out of jail so far, but that’s about as much as I can say for myself.When my mother was sick, only two or three days before she died, I bumped against the stove while I was doing somersaults in the kitchen and bruised my ribs.",Natsume Soseki,Botchan
It hurt like hell.,Natsume Soseki,Botchan
"My mother was furious and said that she never wanted to see my face again, so I went off to stay at a relative’s place.",Natsume Soseki,Botchan
Then the news came that she was dead.,Natsume Soseki,Botchan
I never thought she would die so soon.,Natsume Soseki,Botchan
